Total Length of Bwd Packets,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,Label
43028,1040,1728,394,145657,1475,991,53272,65357,65532,ATTACK
9557,290,442,120,6763,489,278,9973,64607,64409,BENIGN
8599,305,460,120,22440,523,207,10094,61375,60448,BENIGN
73314,1203,1407,598,204172,1501,1392,48474,65101,65058,ATTACK
10954,359,409,94,23357,365,228,11504,61198,61568,BENIGN
13110,284,404,88,9922,534,346,7897,63095,62238,BENIGN
73239,1290,1846,565,213254,1855,1041,62457,65289,65387,ATTACK
54690,1063,1361,524,191937,1824,988,42014,65271,65515,ATTACK
10363,336,517,127,23441,357,252,11044,61074,61088,BENIGN
8513,278,460,143,20663,485,270,10972,62732,64644,BENIGN
13039,316,464,120,8144,456,256,8168,65510,59345,BENIGN
44237,958,1756,387,123504,1485,1219,56360,65439,65305,ATTACK
66267,1306,1598,368,269060,1781,1191,42008,65114,65051,ATTACK
10331,248,359,124,14041,443,284,10051,64015,64245,BENIGN
13208,230,506,134,17979,513,323,8003,62855,61393,BENIGN
10420,335,396,148,23310,388,347,9290,61439,60963,BENIGN
59172,937,1551,464,118016,1557,1295,55067,65371,65456,ATTACK
9609,269,482,117,11422,477,239,10189,60280,63940,BENIGN
52384,934,1625,575,228732,1485,915,51610,65175,65233,ATTACK
13144,213,352,141,10385,474,213,11093,62511,63292,BENIGN
76102,944,1917,531,134028,1524,1148,66950,65458,65363,ATTACK
8038,278,549,124,10276,501,212,8403,61524,64728,BENIGN
58498,1454,1501,333,279116,1545,1067,69840,65190,65472,ATTACK
9785,339,398,82,6926,441,245,13836,63566,62217,BENIGN
11399,375,381,142,8537,420,260,13354,65279,58760,BENIGN
11526,399,493,81,7982,398,212,7619,61173,59597,BENIGN
12715,375,433,131,18662,544,286,7466,62789,58469,BENIGN
44521,946,1653,583,250266,1917,1037,41451,65304,65076,ATTACK
64530,1227,1267,563,265548,1308,1084,51190,65318,65191,ATTACK
61766,1136,1766,450,255326,1993,970,47837,65472,65057,ATTACK
9620,335,501,148,7336,375,281,12968,61251,62839,BENIGN
9788,282,372,116,16049,546,219,13034,61679,61898,BENIGN
76722,1408,1414,445,260478,1789,832,57636,65345,65344,ATTACK
70059,1472,1519,300,118037,1831,1215,42066,65454,65189,ATTACK
9949,303,432,140,15432,514,240,7857,62476,60996,BENIGN
13626,291,541,147,23551,448,263,13147,64465,64809,BENIGN
13450,303,536,107,22608,414,330,11041,60780,60037,BENIGN
8776,214,532,126,10532,486,252,7594,63202,61217,BENIGN
8658,343,354,134,20965,403,317,12158,60448,59047,BENIGN
61355,979,1519,504,245198,1878,1315,48730,65496,65530,ATTACK
14039,223,520,144,19970,447,269,9266,65294,63811,BENIGN
12506,251,377,142,10542,545,234,9022,62789,60461,BENIGN
12431,282,429,80,20983,518,217,12356,63047,61680,BENIGN
66325,1181,1226,566,190280,1729,1278,57137,65018,65045,ATTACK
47658,896,1916,386,177608,1370,980,44928,65264,65433,ATTACK
44478,930,1706,311,280349,1297,866,63944,65289,65375,ATTACK
74144,1020,1360,412,226117,1295,1339,56915,65142,65393,ATTACK
78162,1015,1349,415,288180,1399,883,49930,65165,65346,ATTACK
58989,1058,1891,478,171278,1901,1253,76913,65135,65211,ATTACK
61434,1085,1344,374,165804,1696,862,53436,65054,65375,ATTACK
66831,1006,1286,321,135983,1902,1367,44992,65504,65229,ATTACK
11473,323,366,96,13938,377,317,13578,60296,59663,BENIGN
55625,1004,1878,493,275031,1599,1392,54592,65201,65463,ATTACK
43866,1202,1526,492,247019,1901,1281,62631,65128,65190,ATTACK
47906,917,1702,526,292719,1253,853,77556,65079,65315,ATTACK
65302,1439,1841,595,243995,1290,880,75819,65384,65188,ATTACK
44700,1236,1643,560,220500,1724,1351,42929,65262,65503,ATTACK
53536,950,1602,396,147259,1970,1005,73399,65024,65093,ATTACK
14329,240,473,133,14868,509,310,8901,61369,63289,BENIGN
43579,946,1352,317,204599,1314,817,46856,65440,65084,ATTACK
8954,236,441,108,13182,514,331,11024,61645,60587,BENIGN
11726,356,372,85,11262,531,253,13505,64642,59195,BENIGN
8772,360,390,103,21287,534,318,9336,64507,59767,BENIGN
14588,306,520,113,16556,441,324,7100,64534,63985,BENIGN
13972,294,543,111,17709,487,237,7205,62541,58952,BENIGN
12109,207,537,127,16946,412,288,13058,61583,60351,BENIGN
13565,278,459,81,22107,446,230,13790,62575,61747,BENIGN
59148,1436,1964,579,276020,1708,1243,79248,65250,65092,ATTACK
78610,871,1827,460,134741,1773,1284,72271,65319,65377,ATTACK
10413,218,457,107,18578,357,247,8715,60546,62636,BENIGN
10795,290,396,83,12874,440,201,13774,60615,64474,BENIGN
42417,1074,1574,517,229964,1488,1061,75026,65312,65481,ATTACK
13465,328,412,88,13085,528,280,12014,61523,59357,BENIGN
48188,849,1966,338,181796,1945,1238,76088,65452,65259,ATTACK
12812,306,515,112,22090,438,257,9021,60167,58125,BENIGN
72180,1035,1202,352,257430,1467,824,49126,65177,65118,ATTACK
49263,996,1278,423,164054,1500,1015,78480,65156,65233,ATTACK
14732,384,354,132,18210,427,270,9743,62829,62847,BENIGN
14295,296,458,129,19767,387,263,12338,61228,58255,BENIGN
13514,377,501,106,15986,375,208,8586,61158,60761,BENIGN
54106,1142,1797,308,230730,1646,1254,77677,65321,65426,ATTACK
78647,1145,1701,382,120367,1818,1372,61059,65473,65092,ATTACK
9452,271,530,129,22100,507,270,9245,62985,61829,BENIGN
12313,299,420,124,8968,535,270,7112,63266,58382,BENIGN
75386,1214,1209,389,296434,1940,1127,40837,65281,65347,ATTACK
72313,1467,1946,440,228534,1522,1375,68612,65421,65285,ATTACK
53548,1052,1959,317,183919,1563,897,57912,65411,65261,ATTACK
44500,1451,1600,368,197676,1244,841,64768,65496,65168,ATTACK
8299,296,451,105,7420,416,322,11247,64811,60912,BENIGN
60351,900,1458,476,147625,1647,1209,76465,65108,65291,ATTACK
60057,949,1214,329,188633,1962,1206,49407,65466,65303,ATTACK
44614,960,1864,375,148115,1824,818,62740,65404,65354,ATTACK
40252,1058,1284,409,271418,1832,864,66311,65314,65343,ATTACK
9645,303,513,86,14710,468,280,12363,65260,64966,BENIGN
49076,1321,1966,533,234874,1697,1226,75391,65278,65360,ATTACK
61547,1365,1219,385,241072,1853,929,40559,65188,65227,ATTACK
13325,340,454,90,7421,398,283,9073,62191,61782,BENIGN
13619,327,512,93,6564,465,245,11384,63198,63088,BENIGN
9552,332,378,87,22503,394,270,12119,60015,59903,BENIGN
10639,354,424,86,11454,397,228,7067,63957,62277,BENIGN
13816,281,512,122,13825,508,303,13473,61936,60677,BENIGN
13544,388,539,110,19400,509,338,7927,65068,58993,BENIGN
9650,261,381,87,6767,439,292,8434,65276,63191,BENIGN
14732,304,512,119,11847,417,268,13312,63287,63183,BENIGN
53485,1341,1477,468,259663,1447,1059,56655,65023,65152,ATTACK
40809,869,1795,310,274628,1534,928,77661,65057,65337,ATTACK
14683,395,495,97,13580,450,228,8253,64658,58297,BENIGN
70831,1202,1488,327,218720,1598,1160,51301,65359,65221,ATTACK
8979,271,490,131,17671,426,290,13990,60468,60480,BENIGN
76091,872,1277,436,283489,1282,1273,43546,65218,65344,ATTACK
78971,1115,1941,446,121890,1587,1269,65525,65030,65109,ATTACK
9165,342,501,103,16708,506,329,7419,63441,60888,BENIGN
77540,809,1246,457,231373,1688,1097,57586,65281,65276,ATTACK
13396,304,483,91,15424,466,295,11858,64215,60382,BENIGN
12873,215,524,143,24790,491,239,7004,61545,64448,BENIGN
60696,1356,1200,320,282803,1878,1084,59686,65076,65465,ATTACK
10112,372,402,104,17758,485,344,12874,62680,58105,BENIGN
48410,1180,1988,304,277814,1565,1069,48066,65278,65202,ATTACK
11251,319,421,133,6032,432,281,13864,64930,61873,BENIGN
58417,994,1687,507,179725,1999,837,40643,65024,65466,ATTACK
12541,379,464,128,14205,494,297,12513,61142,61498,BENIGN
9024,221,412,109,18322,395,298,12991,60516,62606,BENIGN
72246,1215,1875,367,141262,1479,1283,72781,65107,65474,ATTACK
10065,252,508,107,16376,480,325,10544,63233,64441,BENIGN
78331,930,1242,324,283594,1208,1086,73684,65108,65364,ATTACK
11899,232,422,144,20278,400,216,11916,60306,59538,BENIGN
50238,1316,1598,558,243794,1249,992,75205,65301,65264,ATTACK
14361,284,388,97,21897,480,224,7771,64128,62962,BENIGN
14980,366,512,125,17262,430,256,11945,61781,64555,BENIGN
14708,337,366,89,12312,484,348,8029,65463,64700,BENIGN
69831,1233,1444,431,201872,1935,1373,40074,65165,65442,ATTACK
51700,977,1471,563,293547,1701,886,57000,65078,65366,ATTACK
42120,849,1398,533,182218,1684,1292,45945,65281,65092,ATTACK
59251,1418,1492,331,101786,1444,1230,74155,65451,65290,ATTACK
53171,1350,1609,574,205600,1308,1250,41870,65487,65331,ATTACK
60147,1488,1481,451,271123,1201,1168,77613,65171,65439,ATTACK
11926,382,413,142,19853,355,328,9594,64043,58729,BENIGN
53691,1220,1338,363,294386,1266,1173,60740,65248,65110,ATTACK
71526,1200,1307,411,129375,1740,837,47987,65135,65503,ATTACK
58515,974,1742,368,190352,1775,1333,46829,65203,65043,ATTACK
76020,950,1850,360,141733,1553,1032,40079,65286,65141,ATTACK
75964,1287,1494,497,196332,1740,1227,78095,65242,65532,ATTACK
70257,999,1894,593,110434,1424,1107,59547,65250,65031,ATTACK
11726,238,546,94,18960,526,311,12009,62630,64908,BENIGN
10890,329,464,83,17290,445,262,12061,60634,58031,BENIGN
8793,291,371,145,20522,366,334,11583,63381,58043,BENIGN
8223,323,547,121,17447,409,256,9142,63835,64063,BENIGN
40401,930,1672,337,285970,1504,1370,54554,65519,65005,ATTACK
8694,359,424,88,17281,424,326,13133,60827,62609,BENIGN
14547,253,418,110,7133,441,336,12604,60101,61013,BENIGN
61532,1287,1512,326,185419,1815,1154,43890,65328,65033,ATTACK
10932,209,401,121,7580,408,202,7177,62645,63849,BENIGN
46858,1425,1730,529,273434,1682,815,79319,65515,65117,ATTACK
9347,319,378,102,20484,365,208,8304,60175,59028,BENIGN
9173,274,357,107,19419,525,213,13927,62516,59538,BENIGN
67056,1141,1330,561,253413,1810,1209,47959,65384,65383,ATTACK
59832,845,1747,412,286723,1997,1032,42603,65289,65042,ATTACK
13013,224,423,89,17593,447,255,13323,62664,63524,BENIGN
54895,990,1638,411,269389,1466,837,44326,65522,65062,ATTACK
11733,373,458,148,7285,391,251,9849,63124,63347,BENIGN
11267,344,470,105,23277,479,307,9431,61099,62454,BENIGN
51992,1133,1319,324,236736,1761,1305,72920,65261,65432,ATTACK
8914,266,463,142,20100,432,214,9200,62643,64978,BENIGN
73218,1186,1993,493,297897,1393,1354,78993,65365,65309,ATTACK
9916,387,379,91,11511,473,204,7374,63977,60431,BENIGN
9452,263,360,83,21174,501,229,11191,65140,62738,BENIGN
12935,323,508,85,21941,494,234,11343,64940,60988,BENIGN
79614,1329,1635,434,157949,1301,1383,76418,65529,65444,ATTACK
52387,1152,1523,451,276533,1792,1224,49264,65470,65111,ATTACK
10459,365,411,114,9056,500,211,8897,62002,61093,BENIGN
8696,234,366,98,6786,514,314,7441,63340,64384,BENIGN
45827,931,1792,304,251555,1919,1326,44509,65009,65224,ATTACK
11810,347,475,82,24904,461,331,9003,63462,63320,BENIGN
14359,342,491,119,9108,403,237,8753,62253,61105,BENIGN
79241,1281,1948,349,216394,1572,829,57382,65089,65185,ATTACK
8230,265,361,109,10137,395,273,8024,64504,64156,BENIGN
40218,1407,1959,584,229815,1787,1257,74274,65200,65460,ATTACK
9930,207,470,120,8962,418,279,12579,63632,63457,BENIGN
9882,291,396,144,22781,476,310,12870,63820,59152,BENIGN
14611,381,478,107,23983,420,260,7691,61741,62424,BENIGN
53631,1164,1698,501,173962,1693,1247,47174,65116,65418,ATTACK
71049,1281,1715,522,139570,1500,1239,61941,65354,65419,ATTACK
9039,291,380,109,11953,418,269,12155,61968,63901,BENIGN
74518,1476,1615,482,151081,1825,1277,54898,65507,65241,ATTACK
13459,302,430,127,10000,426,281,12793,63164,63609,BENIGN
8662,300,485,114,6533,469,209,11529,63100,60102,BENIGN
53237,1048,1938,436,197129,1962,1339,64081,65158,65489,ATTACK
9997,326,407,122,15773,463,348,12720,62890,60508,BENIGN
14000,273,485,136,19613,379,339,12102,63518,59204,BENIGN
64682,1162,1357,476,293943,1979,1101,42176,65324,65029,ATTACK
70637,1325,1966,375,147560,1564,1180,72949,65235,65149,ATTACK
9215,362,379,90,20881,383,215,8486,65000,63448,BENIGN
56896,1089,1367,522,108351,1383,1348,76159,65395,65213,ATTACK
58536,948,1435,320,128458,1861,895,76612,65187,65467,ATTACK
40464,1059,1338,471,239500,1839,977,56081,65210,65207,ATTACK
10534,347,520,139,23463,476,247,9694,62486,59117,BENIGN
48370,1378,1338,585,183628,1698,873,60758,65105,65434,ATTACK
58003,1465,1825,361,169481,1746,1071,53345,65128,65440,ATTACK
73476,925,1915,597,226184,1767,1395,77408,65234,65067,ATTACK
45556,830,1547,532,281719,1561,1275,74352,65266,65143,ATTACK
51186,858,1237,416,184549,1762,1286,75820,65036,65384,ATTACK
12086,330,435,140,10257,438,214,13037,61733,59182,BENIGN
8463,377,403,133,11528,451,214,11865,62596,59226,BENIGN
14510,364,407,112,23198,522,335,10376,62180,60541,BENIGN
10440,283,474,82,24522,462,267,10454,64556,63265,BENIGN
47690,1205,1491,322,296046,1694,807,77411,65054,65288,ATTACK
10756,201,502,97,21862,418,349,7216,63794,59502,BENIGN
10608,232,485,134,7089,374,214,7225,62415,63003,BENIGN
12186,221,524,92,20751,462,216,8939,64961,59163,BENIGN
45757,1334,1953,373,287995,1366,975,52525,65099,65410,ATTACK
77935,818,1432,489,127691,1646,1099,78967,65014,65307,ATTACK
71263,997,1724,592,202501,1962,1393,50214,65250,65249,ATTACK
10105,395,371,103,11295,391,338,10157,63984,58669,BENIGN
8020,256,512,93,17794,370,280,9182,64112,63219,BENIGN
8029,372,525,115,24492,498,288,9942,61479,62496,BENIGN
10221,334,509,82,11581,392,245,12346,61951,64133,BENIGN
70576,1340,1218,407,271522,1321,1282,41979,65351,65229,ATTACK
13223,287,441,88,14571,498,285,9628,61446,60355,BENIGN
54786,1375,1972,409,288609,1861,937,56902,65169,65343,ATTACK
12685,250,534,146,13728,373,246,13931,61010,62023,BENIGN
59324,1062,1278,415,266928,1724,1238,40258,65462,65445,ATTACK
13370,339,522,133,22972,390,235,11014,63932,58021,BENIGN
13148,363,356,89,24705,360,207,8259,64311,59350,BENIGN
11637,219,376,116,20281,547,229,7757,62046,61451,BENIGN
9298,369,393,149,22677,500,311,13419,60737,62719,BENIGN
62422,1362,1635,521,115992,1498,983,77763,65446,65298,ATTACK
10863,216,536,138,6471,390,207,13931,63970,63259,BENIGN
8898,222,481,140,12378,540,344,11267,62508,64743,BENIGN
14784,274,366,118,13702,471,211,9228,62354,63531,BENIGN
63404,1093,1526,429,253804,1869,967,59581,65138,65063,ATTACK
48893,1375,1829,486,179908,1874,1369,44928,65323,65225,ATTACK
50283,1022,1533,495,205020,1347,1285,50332,65476,65388,ATTACK
73351,1456,1776,424,172865,1383,1147,48138,65483,65517,ATTACK
12000,221,525,124,13767,495,235,13626,63784,63748,BENIGN
12158,396,387,80,20564,515,335,10967,64351,59949,BENIGN
68309,812,1414,490,167863,1781,850,55070,65279,65270,ATTACK
10805,239,506,87,20995,383,247,9757,63621,58464,BENIGN
62179,882,1583,559,216369,1847,868,69635,65214,65512,ATTACK
52379,1452,1679,394,169241,1228,1122,47815,65256,65152,ATTACK
8582,386,370,93,10672,424,325,7698,62910,62948,BENIGN
12263,342,516,86,18966,466,214,8140,62286,62987,BENIGN
12589,212,360,119,6882,378,245,7216,64949,60992,BENIGN
12090,337,403,81,13398,403,345,12183,61486,63009,BENIGN
71911,855,1686,353,256958,1361,1223,53944,65516,65066,ATTACK
44429,1335,1653,428,227338,1657,1385,68069,65263,65229,ATTACK
53142,1302,1605,579,112667,1545,997,53506,65222,65326,ATTACK
12848,214,476,131,22754,437,294,9750,61156,58588,BENIGN
43222,1420,1900,415,178913,1397,881,66698,65009,65198,ATTACK
59215,1491,1582,477,174292,1493,886,66559,65296,65177,ATTACK
13890,317,408,117,20017,383,315,13389,60779,63224,BENIGN
51823,972,1629,578,183205,1358,1076,70312,65412,65100,ATTACK
8749,399,386,117,13638,495,297,9670,64290,58872,BENIGN
9745,231,546,80,20653,416,253,7872,61298,61241,BENIGN
68776,1205,1915,483,233138,1487,1282,62824,65116,65262,ATTACK
9722,225,433,122,11390,452,339,7237,65327,60094,BENIGN
13497,279,388,120,11847,528,349,12308,62547,61341,BENIGN
47660,1319,1527,372,194014,1244,1045,78503,65068,65283,ATTACK
13221,266,419,143,10426,385,222,10710,65008,58232,BENIGN
68192,1159,1315,500,123692,1432,1043,56407,65215,65532,ATTACK
12057,268,484,96,12542,476,334,10920,65344,61824,BENIGN
10809,322,386,122,23337,457,248,7914,63122,64703,BENIGN
47967,1230,1424,411,163410,1596,938,72375,65251,65041,ATTACK
10551,295,433,140,20552,549,201,10507,64032,59604,BENIGN
12775,291,528,127,11070,493,323,12229,65241,61408,BENIGN
77598,1269,1465,491,150800,1428,1256,49247,65393,65030,ATTACK
12207,277,532,100,18499,460,340,7615,63136,63679,BENIGN
13152,294,399,141,6477,487,277,9659,60369,62469,BENIGN
11930,333,527,148,17663,452,218,9572,61592,61997,BENIGN
8870,270,451,91,18768,444,332,12821,62764,62035,BENIGN
11579,338,440,128,15880,507,271,10949,64086,62665,BENIGN
69958,1105,1360,541,254120,1504,999,54049,65193,65216,ATTACK
9820,215,534,121,16988,400,219,8329,62592,58394,BENIGN
11599,295,537,99,18016,407,288,8217,61877,64306,BENIGN
13643,205,386,139,13552,459,274,9748,60428,61857,BENIGN
14786,251,426,92,18192,369,234,10031,60868,63586,BENIGN
9574,297,463,81,24999,421,327,8536,61977,63910,BENIGN
45384,908,1797,463,200079,1294,961,57059,65376,65051,ATTACK
70629,1185,1749,584,255864,1794,1048,78251,65459,65248,ATTACK
9026,239,515,126,18196,520,341,7308,64638,63195,BENIGN
69773,1262,1750,568,297008,1782,814,68399,65064,65136,ATTACK
14588,247,479,137,20564,389,206,12390,62526,59876,BENIGN
64240,827,1280,339,174347,1829,1027,78983,65115,65441,ATTACK
11663,305,457,98,21852,383,285,7671,64606,58436,BENIGN
9349,228,395,123,23516,412,236,9741,60314,63971,BENIGN
69645,1174,1550,563,275706,1464,833,50524,65000,65133,ATTACK
10760,284,461,125,18400,523,328,7791,63708,63268,BENIGN
14561,293,462,109,19859,472,311,7064,60502,59077,BENIGN
12121,342,482,147,16010,403,307,13733,64489,59043,BENIGN
73118,1074,1408,502,216280,1687,1348,77428,65110,65069,ATTACK
11392,362,442,144,18293,379,329,9818,63452,58535,BENIGN
70009,884,1849,306,294823,1393,814,65037,65172,65401,ATTACK
45971,1310,1490,551,283388,1542,936,60238,65011,65353,ATTACK
11832,208,411,123,20416,382,317,9136,63889,63463,BENIGN
10450,357,544,133,19319,413,333,13829,62099,58058,BENIGN
64081,1418,1303,410,290716,1836,1366,51031,65103,65426,ATTACK
10956,386,445,149,17233,382,338,13037,64540,62034,BENIGN
10029,385,537,96,8051,422,312,13358,61461,61812,BENIGN
70493,1227,1873,567,294590,1560,1057,71772,65173,65218,ATTACK
52082,1015,1558,318,205282,1506,1221,56122,65245,65069,ATTACK
40978,926,1222,367,230017,1690,1372,64276,65258,65101,ATTACK
10968,201,367,114,8958,417,314,10113,60160,61008,BENIGN
14894,365,375,105,7835,504,200,11930,61836,62198,BENIGN
14966,276,398,140,10267,472,347,9391,65437,62624,BENIGN
62915,1486,1436,513,286549,1512,1397,72280,65240,65317,ATTACK
8105,318,375,88,14316,527,322,11132,61454,63285,BENIGN
11494,371,523,81,14789,363,276,7801,61530,64335,BENIGN
78984,806,1454,303,179765,1947,1365,55243,65349,65053,ATTACK
69160,1124,1726,540,211182,1241,1367,66918,65347,65041,ATTACK
50411,964,1867,436,207197,1267,859,52774,65336,65459,ATTACK
13875,362,532,133,6955,489,301,8581,60798,62969,BENIGN
55821,1160,1973,518,106062,1671,1383,58551,65459,65243,ATTACK
50682,1490,1612,501,215373,1326,861,58461,65098,65113,ATTACK
14958,266,513,81,6591,422,278,10816,60631,64208,BENIGN
43108,881,1763,358,265478,1273,1051,75434,65519,65041,ATTACK
14897,274,471,87,16521,357,277,12316,63871,64274,BENIGN
8994,270,490,80,22197,481,322,7140,62271,62132,BENIGN
42919,893,1412,405,194051,1682,1077,45625,65465,65458,ATTACK
56962,816,1351,307,247998,1874,1285,51863,65156,65467,ATTACK
64645,1198,1679,430,137872,1972,1149,67580,65517,65478,ATTACK
9513,259,364,93,15293,543,303,13557,61177,62341,BENIGN
8106,212,490,142,8328,359,319,12416,63180,61935,BENIGN
14232,230,473,112,21259,521,224,7026,63165,60064,BENIGN
51527,1115,1417,362,194827,1454,1371,59895,65004,65520,ATTACK
9627,232,403,113,10298,408,294,13804,61960,64282,BENIGN
14507,213,419,108,23418,539,220,8768,64087,61126,BENIGN
12292,362,366,115,11513,376,341,7800,62770,62829,BENIGN
75827,1293,1701,498,164543,1342,961,69727,65295,65495,ATTACK
57357,977,1642,506,203891,1761,1394,74675,65449,65403,ATTACK
13663,238,464,95,16656,466,224,9123,61739,58538,BENIGN
9581,282,471,107,23057,452,272,10158,62763,58999,BENIGN
8055,297,446,139,23429,507,230,10370,63481,60193,BENIGN
65318,1397,1352,550,128223,1983,1101,64007,65429,65293,ATTACK
49274,1291,1649,457,270439,1272,1169,60269,65150,65231,ATTACK
46804,964,1210,384,171693,1617,1337,60293,65298,65274,ATTACK
75882,1492,1627,345,150343,1406,861,79743,65034,65434,ATTACK
10436,399,368,86,11706,511,311,9975,64520,60476,BENIGN
48424,1353,1591,324,140693,1610,1344,52608,65372,65195,ATTACK
78775,1080,1269,320,134139,1334,1203,56649,65434,65495,ATTACK
9638,304,546,106,13557,375,201,12253,63509,60161,BENIGN
46943,1150,1356,466,181205,1464,850,67455,65074,65532,ATTACK
14173,359,537,120,9954,350,228,11304,64019,59057,BENIGN
49100,928,1890,494,100674,1687,1307,53526,65485,65451,ATTACK
53225,1184,1309,332,264302,1409,1321,40995,65112,65516,ATTACK
14826,373,520,138,15685,529,290,7762,61424,59593,BENIGN
9486,356,484,93,19580,486,254,10365,60470,62250,BENIGN
11805,304,458,143,21443,521,259,10296,61892,61259,BENIGN
53255,895,1554,596,165879,1278,1109,41914,65120,65154,ATTACK
68914,959,1441,354,199729,1601,1264,73745,65289,65185,ATTACK
12813,361,446,146,17294,451,318,12731,64444,60130,BENIGN
44086,1013,1376,432,132861,1640,806,45014,65452,65404,ATTACK
13763,236,377,90,21005,402,346,12432,62574,63938,BENIGN
62987,1338,1557,576,219938,1555,1195,54421,65238,65513,ATTACK
9044,325,382,88,24766,461,259,11132,61813,62272,BENIGN
59005,1040,1844,572,281999,1566,921,52891,65245,65046,ATTACK
12837,327,471,133,13213,542,338,12846,63230,64040,BENIGN
12204,340,521,108,21505,455,263,10733,60522,58229,BENIGN
53249,1141,1557,437,127997,1755,857,48941,65108,65086,ATTACK
8539,335,505,103,15889,496,349,10330,61086,59105,BENIGN
12769,379,516,92,19927,485,288,13005,62282,60422,BENIGN
9012,259,496,83,14011,439,296,8103,62710,62671,BENIGN
76456,1056,1255,463,197821,1428,931,72185,65038,65104,ATTACK
14550,268,367,96,15404,516,220,9001,65522,64020,BENIGN
13437,209,489,85,9756,371,319,9642,64958,62308,BENIGN
14902,342,377,148,23759,417,228,13432,61568,64106,BENIGN
68657,978,1695,431,225835,1665,1313,58451,65431,65128,ATTACK
68266,1270,1566,510,179760,1756,1090,54275,65475,65115,ATTACK
13463,374,415,137,16200,452,335,12723,61147,61751,BENIGN
67811,907,1217,322,294888,1339,870,64845,65108,65304,ATTACK
9620,206,447,87,8724,544,200,12257,60296,64853,BENIGN
10617,387,390,93,20170,508,308,13206,62612,63957,BENIGN
63914,938,1854,474,146626,1361,932,51368,65461,65363,ATTACK
60845,1400,1641,542,184247,1247,1077,67991,65337,65122,ATTACK
62990,1191,1332,349,235016,1421,1390,66799,65092,65474,ATTACK
70183,1280,1673,410,268879,1244,1344,41538,65481,65152,ATTACK
14026,205,463,121,17988,446,292,7803,61976,58313,BENIGN
10340,323,352,128,19678,372,213,8082,61018,60134,BENIGN
43852,959,1396,521,272344,1472,1135,73258,65217,65415,ATTACK
60693,1315,1949,489,217653,1509,1166,48357,65404,65093,ATTACK
62041,1495,1777,535,228577,1988,1253,40749,65081,65238,ATTACK
11817,372,487,140,22735,419,343,7182,63037,64398,BENIGN
10025,218,492,115,22001,498,326,11290,61775,60354,BENIGN
48487,1013,1396,385,219790,1336,859,66880,65532,65416,ATTACK
62318,956,1598,546,132017,1963,1174,65248,65086,65353,ATTACK
53891,858,1223,496,118754,1802,1050,69376,65195,65227,ATTACK
9563,283,361,90,14407,395,208,9957,64132,59004,BENIGN
12583,211,507,113,11892,504,324,8178,60662,58541,BENIGN
14541,254,471,113,24352,499,254,9458,60941,63827,BENIGN
47095,862,1660,484,160347,1791,909,66477,65021,65185,ATTACK
70610,954,1335,594,104692,1799,921,67953,65107,65224,ATTACK
9957,353,390,134,21171,431,201,8821,63363,63089,BENIGN
54158,1156,1354,573,248147,1706,1236,74760,65266,65257,ATTACK
71060,1111,1502,583,204180,1534,1380,42473,65087,65047,ATTACK
68662,1205,1697,545,119116,1593,1105,69185,65144,65173,ATTACK
54582,890,1633,326,249277,1481,886,63884,65385,65298,ATTACK
13252,346,422,106,12346,393,300,12400,65471,61479,BENIGN
9592,322,364,114,20198,523,251,12449,62551,58828,BENIGN
42974,1315,1326,560,152450,1386,1169,60628,65046,65235,ATTACK
8478,269,355,83,9732,367,299,8303,61505,58317,BENIGN
13287,368,430,90,22138,417,279,13856,61534,58570,BENIGN
8326,337,355,117,12752,522,305,10151,62825,61868,BENIGN
40888,1329,1701,323,214917,1487,1122,69737,65323,65047,ATTACK
12326,268,503,93,22150,522,222,8814,64033,61578,BENIGN
13899,269,387,87,16545,454,236,12348,65221,60461,BENIGN
40199,1362,1462,412,180378,1495,1264,57128,65455,65439,ATTACK
43219,1404,1330,477,143007,1660,824,74529,65019,65371,ATTACK
13628,237,526,116,10222,388,282,8486,60711,59402,BENIGN
9380,344,365,146,18797,409,245,10717,64674,58111,BENIGN
13706,378,374,149,16770,459,282,11492,64464,64767,BENIGN
14078,330,477,85,9585,368,257,12162,60396,64061,BENIGN
8151,374,505,116,19738,390,325,8094,64089,61623,BENIGN
11094,344,522,139,7834,415,310,7568,62846,59015,BENIGN
14202,346,427,147,22857,465,288,7770,62332,64328,BENIGN
40592,803,1871,414,198396,1978,1370,65756,65389,65327,ATTACK
13074,298,352,83,19677,477,347,9783,64614,61673,BENIGN
11851,296,416,143,16416,520,201,8758,64368,62270,BENIGN
44935,1418,1648,576,196988,1850,1278,42039,65029,65352,ATTACK
8397,265,467,130,8651,395,341,9242,63024,59728,BENIGN
14321,217,492,124,19863,495,315,7336,65035,59729,BENIGN
11097,330,413,111,22327,419,288,13025,60718,60129,BENIGN
9190,391,416,115,21118,505,249,13305,60715,58503,BENIGN
10566,334,405,119,10324,413,286,8160,62779,60726,BENIGN
8554,342,458,129,15944,497,347,13880,60623,59312,BENIGN
13480,333,535,136,15142,482,303,8173,65169,61915,BENIGN
11850,309,362,145,12505,352,326,8341,63989,62691,BENIGN
54033,847,1824,446,216090,1890,1216,74478,65001,65199,ATTACK
12798,220,486,132,22175,433,258,8172,60717,59910,BENIGN
